timestamp,heart_rate,alpha_high,alpha_low,beta_high,beta_low,gamma_low,delta,theta,left_eye_open_prob,right_eye_open_prob,is_drowsy
1.58886E+12,,4338,16750754,12565,30285,12561,128382,207770,0.994760513,0.996211708,0
1.58886E+12,,4338,16750754,12565,30285,12561,128382,207770,0.994760513,0.995899022,0
1.58886E+12,,4338,16750754,12565,30285,12561,128382,207770,0.991869092,0.996521115,0
1.58886E+12,,4338,16750754,12565,30285,12561,128382,207770,0.993816435,0.994615078,0
1.58886E+12,,4338,16750754,12565,30285,12561,128382,207770,0.99703908,0.996211708,0
1.58886E+12,,3513,639,1532,2586,956,4011,5150,0.99522543,0.997727633,0
1.58886E+12,,3513,639,1532,2586,956,4011,5150,0.995685637,0.996521115,0
1.58886E+12,,3513,639,1532,2586,956,4011,5150,0.995685637,0.996827424,0
1.58886E+12,,3513,639,1532,2586,956,4011,5150,0.99522543,0.996827424,0
1.58886E+12,,3513,639,1532,2586,956,4011,5150,0.994290888,0.996827424,0
1.58886E+12,,3513,639,1532,2586,956,4011,5150,0.996141315,0.995263815,0
1.58886E+12,,3513,639,1532,2586,956,4011,5150,0.996141315,0.997130573,0
1.58886E+12,,1589,2048,2544,813,1648,3869,1233,0.996592402,0.996521115,0
1.58886E+12,,1589,2048,2544,813,1648,3869,1233,0.996141315,0.997430623,0
1.58886E+12,,1589,2048,2544,813,1648,3869,1233,0.995685637,0.996211708,0
1.58886E+12,,1589,2048,2544,813,1648,3869,1233,0.995685637,0.996521115,0
1.58886E+12,,1589,2048,2544,813,1648,3869,1233,0.993337154,0.997130573,0
1.58886E+12,70,1589,2048,2544,813,1648,3869,1233,0.99522543,0.995263815,0
1.58886E+12,70,1448,2779,7499,3524,3483,9071,5638,0.995685637,0.996211708,0
1.58886E+12,70,1448,2779,7499,3524,3483,9071,5638,0.99522543,0.997430623,0
1.58886E+12,70,1448,2779,7499,3524,3483,9071,5638,0.993816435,0.997727633,0
1.58886E+12,70,1448,2779,7499,3524,3483,9071,5638,0.990864635,0.998312771,0
1.58886E+12,70,1448,2779,7499,3524,3483,9071,5638,0.994290888,0.996211708,0
1.58886E+12,70,1448,2779,7499,3524,3483,9071,5638,0.915364861,0.992931128,0
1.58886E+12,70,1448,2779,7499,3524,3483,9071,5638,0.986605704,0.993615627,0
1.58886E+12,67,4255,26403,3197,1466,3202,42608,66288,0.989317417,0.988487542,0
1.58886E+12,67,4255,26403,3197,1466,3202,42608,66288,0.994290888,0.938399792,0
1.58886E+12,67,4255,26403,3197,1466,3202,42608,66288,0.990864635,0.935165048,0
1.58886E+12,67,4255,26403,3197,1466,3202,42608,66288,0.991869092,0.902131438,0
1.58886E+12,67,4255,26403,3197,1466,3202,42608,66288,0.99522543,0.938399792,0
1.58886E+12,67,4255,26403,3197,1466,3202,42608,66288,0.780524075,0.733778119,0
1.58886E+12,67,4255,26403,3197,1466,3202,42608,66288,0.985082388,0.175851583,0
1.58886E+12,67,12290,16766532,18130,7242,12285,1473809,178388,0.894785523,0.987277389,0
1.58886E+12,67,12290,16766532,18130,7242,12285,1473809,178388,0.983730555,0.902131438,0
1.58886E+12,66,12290,16766532,18130,7242,12285,1473809,178388,0.989317417,0.993275225,0
1.58886E+12,66,12290,16766532,18130,7242,12285,1473809,178388,0.982880414,0.966861784,0
1.58886E+12,66,12290,16766532,18130,7242,12285,1473809,178388,0.985856891,0.995263815,0
1.58886E+12,66,12290,16766532,18130,7242,12285,1473809,178388,0.985856891,0.992931128,0
1.58886E+12,66,6028,11916,6721,2108,4463,95113,27330,0.987175405,0.995263815,0
1.58886E+12,66,6028,11916,6721,2108,4463,95113,27330,0.993337154,0.997130573,0
1.58886E+12,66,6028,11916,6721,2108,4463,95113,27330,0.991369486,0.996521115,0
1.58886E+12,65,6028,11916,6721,2108,4463,95113,27330,0.990354359,0.997130573,0
1.58886E+12,65,6028,11916,6721,2108,4463,95113,27330,0.991869092,0.996211708,0
1.58886E+12,65,6028,11916,6721,2108,4463,95113,27330,0.811463058,0.024098217,0
1.58886E+12,65,6028,11916,6721,2108,4463,95113,27330,0.911478877,0.008479774,0
1.58886E+12,65,10576,17750,9105,92723,9854,440668,16746684,0.951171398,0.006523013,0
1.58886E+12,65,10576,17750,9105,92723,9854,440668,16746684,0.062496305,0.008479774,0
1.58886E+12,65,10576,17750,9105,92723,9854,440668,16746684,0.982880414,0.027333796,0
1.58886E+12,65,10576,17750,9105,92723,9854,440668,16746684,0.060685039,0.008479774,0
